,name,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max,address1,address2,line,station,walk_minutes
146,オープンレジデンシア桜新町テラス,2018/7,39780000,71480000,1LDK,3LDK,36.84,62.37,世田谷区,弦巻４,東急田園都市線,桜新町,7
147,品川イーストシティタワー,2019/4,39800000,79800000,1LDK,3LDK,41.65,70.18,品川区,東品川５,東京モノレール,天王洲アイル,5
148,プレシス葛西ルジュール,2017/12,39900000,56400000,2LDK+S,2LDK+S,64.64,74.34,江戸川区,中葛西５,東京メトロ東西線,葛西,7
149,グローベルタワー梅島,2017/11,39980000,49680000,3LDK,3LDK,58.17,58.17,足立区,梅島３,東武伊勢崎線,梅島,2
150,サンクレイドル目黒林試の森,2017/11,39990000,59980000,1LDK,2LDK,40.48,53.12,目黒区,下目黒５,東急目黒線,武蔵小山,10
151,プレミアムレジデンス日暮里雅苑,2018/5,41880000,57080000,1LDK,1LDK,40.02,55.01,荒川区,東日暮里６,ＪＲ山手線,日暮里,5
152,オープンレジデンシア中野坂上テラス,2018/9末,42980000,61880000,1LDK,3LDK,37.15,60.8,中野区,東中野１,東京メトロ丸ノ内線,中野坂上,7
153,ヴィークコート豊田,2017/11,43000000,53000000,3LDK,4LDK,71.0,80.81,日野市,東豊田３,ＪＲ中央線,豊田,6
154,プレシス東陽町,2017/11,43900000,51600000,2LDK,3LDK,47.93,65.42,江東区,千石３,東京メトロ東西線,東陽町,12
155,リーフィアレジデンス狛江 和泉本町,2017/11,43980000,54980000,2LDK,3LDK,62.1,75.4,狛江市,和泉本町１,小田急線,狛江,9
156,オープンレジデンシア中野 平和の森公園,2018/8,44000000,53000000,2LDK,3LDK,57.84,71.19,中野区,野方２,ＪＲ中央線,中野,17
157,グローリオ コンフォート文京本駒込,2018/4,44200000,63100000,1LDK,1LDK,36.29,53.29,文京区,本駒込５,ＪＲ山手線,駒込,6
158,グローリオ武蔵関,2017/11,44800000,44800000,3LDK,3LDK,67.13,67.13,練馬区,関町北２,西武新宿線,武蔵関,5
159,リビオ人形町 日本橋浜町グリーンテラス,2017/11,44800000,44800000,1LDK,1LDK,46.37,46.37,中央区,日本橋浜町２,東京メトロ半蔵門線,水天宮前,5
160,ヴィークコート吉祥寺通り,2018/3,45480000,59980000,2LDK,4LDK,56.54,80.27,練馬区,立野町,ＪＲ中央線,吉祥寺,31
161,アビダス西国分寺,2017/11,45980000,45980000,3LDK,3LDK,70.04,70.04,国分寺市,西恋ヶ窪４,ＪＲ中央線,西国分寺,9
162,シティタワー金町,2017/11,45980000,69900000,3LDK,4LDK,63.04,84.41,葛飾区,新宿６,ＪＲ常磐線,金町,12
163,プライムスタイル東日本橋,2018/3,46880000,100000000,1LDK,3LDK,40.81,80.15,中央区,東日本橋３,都営浅草線,東日本橋,1
